criterio,score,evidencia,lacuna,recomendacao,owner,status
Adocao dos usuarios,,,,,,Pendente
Qualidade dos outputs,,,,,,Pendente
Revisao humana funcionando,,,,,,Pendente
Dados minimos disponiveis,,,,,,Pendente
Evidencias suficientes,,,,,,Pendente
Riscos controlados,,,,,,Pendente
Acoes com owner e prazo,,,,,,Pendente
Decisoes rastreadas,,,,,,Pendente
Sponsor engajado,,,,,,Pendente
Capacidade tecnica,,,,,,Pendente
Seguranca e confidencialidade,,,,,,Pendente
Valor percebido,,,,,,Pendente
Custo controlado,,,,,,Pendente
Backlog priorizado,,,,,,Pendente
Prontidao para suporte,,,,,,Pendente

